k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,6.37652
1,6,72,134,10.3333,4.88133
2,12,134,206,12,7.91869
3,18,206,282,12.6667,8.53456
4,24,282,354,12,7.75488
5,30,354,429,12.5,8.78917
6,36,429,503,12.3333,8.89762
7,42,503,581,13,8.61419
8,48,581,657,12.6667,8.6686
9,54,657,733,12.6667,9.54767
10,60,733,804,11.8333,6.3213
11,66,804,883,13.1667,7.67223
12,72,883,961,13,9.00631
13,78,961,1034,12.1667,7.27656
14,84,1034,1104,11.6667,6.56778
15,90,1104,1180,12.6667,7.97532
16,96,1180,1255,12.5,7.76648
17,102,1255,1328.07,12.1778,7.04488
18,108,1328.07,1402,12.3222,7.65574
19,114,1402,1475,12.1667,6.89301
20,120,1475,1546,11.8333,6.51698
21,126,1546,1615,11.4998,6.29851
22,132,1615,1685,11.6668,6.49273
23,138,1685,1755,11.6667,6.4836
24,144,1755,1835,13.3333,9.44057
25,150,1835,1898,10.5,4.83036
26,156,1898,1974,12.6667,8.38057
27,162,1974,2047.08,12.1798,7.80639
28,168,2047.08,2123,12.6535,8.37655
29,174,2123,2196,12.1667,7.5161
30,180,2196,2267,11.8333,7.20267
31,186,2267,2340,12.1667,8.36319
32,192,2340,2401,10.1667,4.55145
33,198,2401,2475,12.3333,8.19732
34,204,2475,2545,11.6667,6.09182
35,210,2545,2615,11.6667,5.59052
36,216,2615,2685,11.6667,5.41996
37,222,2685,2754,11.5,5.68403
38,228,2754,2824.66,11.7767,5.65772
39,234,2824.66,2884,9.89002,2.93098
40,240,2884,2960,12.6667,7.1011
41,246,2960,3034,12.3333,7.91574
42,252,3034,3112,13,9.91684
43,258,3112,3192,13.3333,10.5383
44,264,3192,3266,12.3333,8.12407
45,270,3266,3341,12.5,8.23713
46,276,3341,3393.24,13.06,6.28313
