k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,71,11.8333,6.09938
1,6,71,137,11,6.06496
2,12,137,201,10.6667,6.35307
3,18,201,273,12,7.54356
4,24,273,344,11.8333,7.37456
5,30,344,416,12,8.35147
6,36,416,490,12.3333,8.90961
7,42,490,568,13,8.56675
8,48,568,644,12.6667,8.48219
9,54,644,717,12.1667,8.48562
10,60,717,795,13,8.50146
11,66,795,875,13.3333,7.86297
12,72,875,951,12.6667,8.29138
13,78,951,1026,12.5,8.2084
14,84,1026,1096,11.6667,6.59834
15,90,1096,1167,11.8333,6.45917
16,96,1167,1239,12,6.83004
17,102,1239,1313,12.3333,7.31397
18,108,1313,1384,11.8333,6.8815
19,114,1384,1455,11.8333,6.32678
20,120,1455,1525,11.6667,6.41832
21,126,1525,1596,11.8333,6.77502
22,132,1596,1667,11.8333,6.73215
23,138,1667,1738,11.8333,6.80948
24,144,1738,1810,12,7.00685
25,150,1810,1880,11.6667,7.29195
26,156,1880,1950,11.6667,6.5438
27,162,1950,2018,11.3333,6.57432
28,168,2018,2087,11.5,6.29539
29,174,2087,2159,12,7.42141
30,180,2159,2227,11.3333,7.01105
31,186,2227,2297,11.6667,7.17845
32,192,2297,2366,11.5,6.56019
33,198,2366,2438,12,7.24269
34,204,2438,2509,11.8333,7.25077
35,210,2509,2581,12,6.19516
36,216,2581,2657,12.6667,7.29296
37,222,2657,2737,13.3333,8.68366
38,228,2737,2815,13,7.67988
39,234,2815,2893,13,7.42491
40,240,2893,2967,12.3333,7.25308
41,246,2967,3043,12.6667,8.7327
42,252,3043,3117,12.3333,9.41073
43,258,3117,3192,12.5,8.75798
44,264,3192,3267,12.5,8.43813
45,270,3267,3342,12.5,8.23713
46,276,3342,3393,12.75,5.84936
