k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69,11.5,7.26588
1,6,69,139,11.6667,7.06
2,12,139,210,11.8333,6.28494
3,18,210,278,11.3333,6.32246
4,24,278,348,11.6667,7.18644
5,30,348,414,11,6.86511
6,36,414,486,12,7.50006
7,42,486,551,10.8333,6.50508
8,48,551,620,11.5,6.36765
9,54,620,690,11.6667,7.56697
10,60,690,760,11.6667,6.94442
11,66,760,821,10.1667,6.80946
12,72,821,889,11.3333,8.57026
13,78,889,959,11.6667,10.049
14,84,959,1028,11.5,10.1257
15,90,1028,1106,13,14.3958
16,96,1106,1189,13.8333,16.4486
17,102,1189,1274,14.1667,16.8748
18,108,1274,1341,11.1667,9.57339
19,114,1341,1414,12.1667,12.0105
20,120,1414,1482,11.3333,8.55801
21,126,1482,1550,11.3333,6.95752
22,132,1550,1616,11,6.20537
23,138,1616,1682,11,6.18979
24,144,1682,1748,11,6.08968
25,150,1748,1816,11.3333,6.49472
26,156,1816,1883,11.1667,6.16738
27,162,1883,1954,11.8333,7.36864
