k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,66,11,8.87788
1,6,66,138,12,7.06075
2,12,138,201,10.5,6.18287
3,18,201,261,10,6.7565
4,24,261,323,10.3333,6.86665
5,30,323,387,10.6667,6.64804
6,36,387,455,11.3333,9.16328
7,42,455,520,10.8333,7.46937
8,48,520,586,11,7.41784
9,54,586,654,11.3333,8.24346
10,60,654,721,11.1667,7.98455
11,66,721,789,11.3333,7.87636
12,72,789,860,11.8333,7.47146
13,78,860,932,12,6.99948
14,84,932,1006,12.3333,7.43632
15,90,1006,1079,12.1667,7.66878
16,96,1079,1153,12.3333,7.79828
17,102,1153,1224,11.8333,7.45953
18,108,1224,1295,11.8333,6.92743
19,114,1295,1364,11.5,6.71919
20,120,1364,1434,11.6667,6.88573
21,126,1434,1508,12.3333,8.50298
22,132,1508,1584,12.6667,8.22404
23,138,1584,1658,12.3333,7.78454
24,144,1658,1734,12.6667,7.27144
25,150,1734,1811,12.8333,8.00825
26,156,1811,1889,13,9.78093
27,162,1889,1955,11,5.92295
