k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,65,10.8333,7.14249
1,6,65,132,11.1667,8.51782
2,12,132,199.869,11.3115,8.07603
3,18,199.869,268,11.3552,6.52139
4,24,268,338,11.6667,6.58619
5,30,338,408,11.6667,6.95436
6,36,408,478,11.6667,7.87639
7,42,478,551,12.1667,8.33953
8,48,551,624,12.1667,7.97887
9,54,624,695,11.8333,7.78281
10,60,695,770,12.5,7.53501
11,66,770,837,11.1667,6.54283
12,72,837,904.033,11.1722,6.34433
13,78,904.033,971,11.1611,5.87398
14,84,971,1040,11.5,7.05553
15,90,1040,1109,11.5,6.89888
16,96,1109,1184,12.5,8.19732
17,102,1184,1253,11.5,7.38914
18,108,1253,1326,12.1667,9.71183
19,114,1326,1396,11.6667,7.77828
20,120,1396,1466,11.6667,9.5407
21,126,1466,1531,10.8333,6.62952
22,132,1531,1596.85,10.9758,6.41861
23,138,1596.85,1666,11.5242,6.0327
24,144,1666,1734,11.3333,5.88142
25,150,1734,1810,12.6667,8.22988
26,156,1810,1889,13.1667,7.13069
27,162,1889,1954.7,10.9498,6.0342
