k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69,11.5,7.48562
1,6,69,146,12.8333,8.14998
2,12,146,217,11.8333,7.03266
3,18,217,281,10.6667,6.54934
4,24,281,348,11.1667,6.63532
5,30,348,421,12.1667,8.09656
6,36,421,496,12.5,7.82203
7,42,496,568,12,6.90153
8,48,568,639,11.8333,6.04634
9,54,639,707,11.3333,6.79749
10,60,707,775,11.3333,6.73385
11,66,775,851,12.6667,9.65626
12,72,851,927,12.6667,9.59997
13,78,927,992,10.8333,6.03625
14,84,992,1058,11,6.48029
15,90,1058,1133,12.5,9.74959
16,96,1133,1207,12.3333,9.01846
17,102,1207,1282,12.5,9.40489
18,108,1282,1360,13,10.9914
19,114,1360,1438,13,10.5329
20,120,1438,1513,12.5,8.48684
21,126,1513,1594,13.5,10.4555
22,132,1594,1673,13.1667,9.23861
23,138,1673,1751,13,8.17091
24,144,1751,1826,12.5,6.52629
25,150,1826,1901,12.5,7.612
26,156,1901,1971,11.6667,5.64713
27,162,1971,2041,11.6667,5.66481
28,168,2041,2111,11.6667,5.5858
29,174,2111,2189,13,8.0073
30,180,2189,2269,13.3333,7.93303
31,186,2269,2344,12.5,6.05985
32,192,2344,2419,12.5,6.08648
33,198,2419,2495,12.6667,8.54913
34,204,2495,2568,12.1667,9.24414
35,210,2568,2640,12,9.84172
36,216,2640,2711,11.8333,9.05271
37,222,2711,2778,11.1667,6.85912
38,228,2778,2854,12.6667,9.25453
39,234,2854,2919,10.8333,6.17647
40,240,2919,2985,11,5.95171
41,246,2985,3070,14.1667,10.9344
42,252,3070,3136,11,7.01537
43,258,3136,3204,11.3333,6.42196
44,264,3204,3274,11.6667,7.1011
45,270,3274,3346,12,7.3368
46,276,3346,3393.55,11.8872,4.74941
