k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,2806,280,2802,4,0,11.5,,,7.48562,0.241414
1,2812,274,2808,4,69,12.8333,12.1667,0.666667,8.14998,0.257926
2,2818,268,2814,4,146,11.8333,12.9316,-1.09831,7.03266,0.199497
3,2824,262,2820,4,217,10.6667,10.8333,-0.166667,6.54934,0.183682
4,2830,256,2826,4,281,11.1667,11.1667,0,6.63532,0.178308
5,2836,250,2832,4,348,12.1667,12.6667,-0.5,8.09656,0.183189
6,2842,244,2838,4,421,12.5,12,0.5,7.82203,0.170442
7,2848,238,2844,4,496,12,12,0,6.90153,0.164004
8,2854,232,2850,4,568,11.8333,11.3333,0.5,6.04634,0.156198
9,2860,226,2856,4,639,11.3333,11.1206,0.212764,6.79749,0.136173
10,2866,220,2862,4,707,11.3333,11.6667,-0.333333,6.73385,0.129821
11,2872,214,2868,4,775,12.6667,11.5,1.16667,9.65626,0.126115
12,2878,208,2874,4,851,12.6667,12.5,0.166667,9.59997,0.115408
13,2884,202,2880,4,927,10.8333,12.8333,-2,6.03625,0.103874
14,2890,196,2886,4,992,11,11,0,6.48029,0.11323
15,2896,190,2892,4,1058,12.5,12.5,0,9.74959,0.0908351
16,2902,184,2898,4,1133,12.3333,12.3333,0,9.01846,0.084725
17,2908,178,2904,4,1207,12.5,13.8333,-1.33333,9.40489,0.0771564
18,2914,172,2910,4,1282,13,12.5,0.5,10.9914,0.0726944
19,2920,166,2916,4,1360,13,13.087,-0.0870293,10.5329,0.0665962
20,2926,160,2922,4,1438,12.5,13,-0.5,8.48684,0.067331
21,2932,154,2928,4,1513,13.5,13.5,0,10.4555,0.0587411
22,2938,148,2934,4,1594,13.1667,13.1667,0,9.23861,0.052216
23,2944,142,2940,4,1673,13,13,0,8.17091,0.0494484
24,2950,136,2946,4,1751,12.5,12.5,0,6.52629,0.0425371
25,2956,130,2952,4,1826,12.5,12.5,0,7.612,0.037752
26,2962,124,2958,4,1901,11.6667,14.1667,-2.5,5.64713,0.0358497
27,2968,118,2964,4,1971,11.6667,11.5,0.166667,5.66481,0.0310515
28,2974,112,2970,4,2041,11.6667,11.6667,0,5.5858,0.0283316
29,2980,106,2976,4,2111,13,13,0,8.0073,0.0233655
30,2986,100,2982,4,2189,13.3333,13.3333,0,7.93303,0.0221754
31,2992,94,2988,4,2269,12.5,12.5,0,6.05985,0.0180254
32,2998,88,2994,4,2344,12.5,12.5,0,6.08648,0.0157662
33,3004,82,3000,4,2419,12.6667,12.8333,-0.166667,8.54913,0.0134039
34,3010,76,3006,4,2495,12.1667,13.1667,-1,9.24414,0.011614
35,3016,70,3012,4,2568,12,12,0,9.84172,0.00929867
36,3022,64,3018,4,2640,11.8333,11.8333,0,9.05271,0.0075125
37,3028,58,3024,4,2711,11.1667,12.1667,-1,6.85912,0.006258
38,3034,52,3030,4,2778,12.6667,11.3333,1.33333,9.25453,0.00480129
39,3040,46,3036,4,2854,10.8333,13,-2.16667,6.17647,0.0034765
40,3046,40,3042,4,2919,11,11,0,5.95171,0.00241846
41,3052,34,3048,4,2985,14.1667,14,0.166667,10.9344,0.00177733
42,3058,28,3054,4,3070,11,11,0,7.01537,0.001066
43,3064,22,3060,4,3136,11.3333,11.3333,0,6.42196,0.000527834
44,3070,16,3066,4,3204,11.6667,12,-0.333333,7.1011,0.000229125
45,3076,10,3072,4,3274,12,12,0,7.3368,9.5583e-05
46,3082,4,3078,4,3346,11.8872,11.8872,0,4.74941,1.9875e-05
