k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,73,12.1667,7.42059
1,6,73,146,12.1667,7.54097
2,12,146,219,12.1667,6.56868
3,18,219,287,11.3333,5.92396
4,24,287,354,11.1667,6.03299
5,30,354,421,11.1667,6.54788
6,36,421,487,11,6.19739
7,42,487,554,11.1667,6.23906
8,48,554,621,11.1667,6.58511
9,54,621,689,11.3333,7.22286
10,60,689,755,11,6.06464
11,66,755,825,11.6667,6.5767
12,72,825,898,12.1667,7.01107
13,78,898,969,11.8333,6.78466
14,84,969,1040,11.8333,7.60962
15,90,1040,1110,11.6667,7.42951
16,96,1110,1183,12.1667,7.80274
17,102,1183,1258,12.5,8.73987
18,108,1258,1333,12.5,8.89143
19,114,1333,1403,11.6667,8.14118
20,120,1403,1476,12.1667,8.83417
21,126,1476,1550,12.3333,9.09192
22,132,1550,1622,12,8.59137
23,138,1622,1690,11.3333,8.0157
24,144,1690,1755,10.8333,6.51928
25,150,1755,1824,11.5,4.57556
26,156,1824,1888,10.6667,6.33511
27,162,1888,1954,11,5.06599
