k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,8.02757
1,6,74.9495,149.899,12.4916,8.11469
2,12,149.899,225,12.5168,7.13934
3,18,225,285,10,4.04793
4,24,285,345,10,4.22515
5,30,345,415.913,11.8188,7.98937
6,36,415.913,491,12.5146,8.94029
7,42,491,561,11.6667,6.28716
8,48,561,631,11.6667,7.7504
9,54,631,694,10.5,5.77778
10,60,694,756,10.3333,5.15014
11,66,756,822,11,5.52958
12,72,822,891,11.5,6.04262
13,78,891,966,12.5,6.89301
14,84,966,1031,10.8333,5.44111
15,90,1031,1106,12.5,8.43813
16,96,1106,1180,12.3333,8.22981
17,102,1180,1250,11.6667,6.71114
18,108,1250,1324.91,12.4846,8.85849
19,114,1324.91,1400,12.5154,9.7359
20,120,1400,1475,12.5,9.52742
21,126,1475,1550,12.5,9.4344
22,132,1550,1614,10.6667,6.35561
23,138,1614,1680,11,6.99979
24,144,1680,1739,9.83333,4.74417
25,150,1739,1807,11.3333,7.95405
26,156,1807,1879,12,8.97957
27,162,1879,1954.03,12.5057,7.31951
