k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,70,11.6667,6.69184
1,6,70,136,11,7.59877
2,12,136,209,12.1667,8.90704
3,18,209,283,12.3333,9.17474
4,24,283,354,11.8333,7.1802
5,30,354,422,11.3333,8.05777
6,36,422,491,11.5,7.02224
7,42,491,571,13.3333,8.32809
8,48,571,651,13.3333,10.5678
9,54,651,731,13.3333,9.92915
10,60,731,810,13.1667,8.41604
11,66,810,885.106,12.5177,7.61071
12,72,885.106,952,11.149,5.00284
13,78,952,1017.6,10.9326,5.60239
14,84,1017.6,1087,11.5674,6.53046
15,90,1087,1158,11.8333,7.29971
16,96,1158,1226,11.3333,8.09987
17,102,1226,1290,10.6667,6.42501
18,108,1290,1356,11,7.16037
19,114,1356,1423,11.1667,6.52963
20,120,1423,1488.64,10.9402,6.10553
21,126,1488.64,1552,10.5598,5.46217
22,132,1552,1617,10.8333,5.86555
23,138,1617,1683,11,5.85316
24,144,1683,1751,11.3333,6.28413
25,150,1751,1822,11.8333,7.05523
26,156,1822,1888,11,5.84962
27,162,1888,1954.7,11.1165,6.37537
