k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74,12.3333,8.02621
1,6,74,143,11.5,7.62869
2,12,143,213,11.6667,7.03387
3,18,213,283,11.6667,6.50952
4,24,283,355,12,7.53328
5,30,355,423,11.3333,7.15698
6,36,423,490,11.1667,7.01404
7,42,490,557,11.1667,6.73361
8,48,557,626,11.5,7.01895
9,54,626,696,11.6667,7.15405
10,60,696,768,12,6.89861
11,66,768,837,11.5,7.06701
12,72,837,909,12,7.55527
13,78,909,982,12.1667,7.59326
14,84,982,1054,12,7.38136
15,90,1054,1126,12,7.54266
16,96,1126,1197,11.8333,6.69217
17,102,1197,1268,11.8333,6.79574
18,108,1268,1334,11,5.9861
19,114,1334,1401,11.1667,6.28474
20,120,1401,1468,11.1667,6.33258
21,126,1468,1535,11.1667,6.44811
22,132,1535,1601,11,6.29209
23,138,1601,1671,11.6667,6.67238
24,144,1671,1741,11.6667,7.72838
25,150,1741,1811,11.6667,7.00368
26,156,1811,1881,11.6667,6.85324
27,162,1881,1954,12.1667,8.2103
