k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,8.16235
1,6,72,140,11.3333,7.70601
2,12,140,213,12.1667,6.79997
3,18,213,283,11.6667,7.73417
4,24,283,349,11,7.24068
5,30,349,417,11.3333,7.51955
6,36,417,489,12,8.0984
7,42,489,562,12.1667,7.92715
8,48,562,636,12.3333,7.11116
9,54,636,706,11.6667,7.32345
10,60,706,779,12.1667,8.70792
11,66,779,849,11.6667,7.24529
12,72,849,924,12.5,8.71308
13,78,924,996,12,7.58279
14,84,996,1069,12.1667,8.64028
15,90,1069,1140,11.8333,8.35678
16,96,1140,1210,11.6667,7.17655
17,102,1210,1285,12.5,8.70468
18,108,1285,1359,12.3333,8.21809
19,114,1359,1429,11.6667,7.52582
20,120,1429,1498,11.5,7.26926
21,126,1498,1572,12.3333,8.49087
22,132,1572,1646,12.3333,7.18927
23,138,1646,1718,12,7.01312
24,144,1718,1792,12.3333,7.08334
25,150,1792,1869,12.8333,7.45588
26,156,1869,1942,12.1667,6.09134
27,162,1942,2015,12.1667,8.09963
28,168,2015,2094,13.1667,9.2732
29,174,2094,2169,12.5,7.93265
30,180,2169,2245,12.6667,8.73481
31,186,2245,2319,12.3333,8.56274
32,192,2319,2391,12,7.84091
33,198,2391,2466,12.5,8.28228
34,204,2466,2541,12.5,8.8177
35,210,2541,2616,12.5,7.95913
36,216,2616,2695,13.1667,7.81185
37,222,2695,2768,12.1667,7.2942
38,228,2768,2841,12.1667,7.52714
39,234,2841,2914,12.1667,8.05224
40,240,2914,2984,11.6667,7.52481
41,246,2984,3056,12,8.50699
42,252,3056,3127,11.8333,8.90869
43,258,3127,3200,12.1667,7.90414
44,264,3200,3273,12.1667,7.93942
45,270,3273,3346,12.1667,7.64644
46,276,3346,3394,12,4.88449
