k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,65,10.8333,7.00028
1,6,65,130,10.8333,6.80383
2,12,130,199,11.5,7.26414
3,18,199,268,11.5,8.32029
4,24,268,340,12,8.40105
5,30,340,414,12.3333,8.57482
6,36,414,492,13,9.40573
7,42,492,572,13.3333,10.4231
8,48,572,651,13.1667,8.89577
9,54,651,732,13.5,10.3981
10,60,732,802,11.6667,7.5237
11,66,802,869,11.1667,6.80555
12,72,869,933,10.6667,7.26206
13,78,933,1003,11.6667,7.39092
14,84,1003,1074,11.8333,8.01328
15,90,1074,1147,12.1667,7.98705
16,96,1147,1220,12.1667,7.88341
17,102,1220,1290,11.6667,6.27142
18,108,1290,1358,11.3333,6.8809
19,114,1358,1429,11.8333,7.48528
20,120,1429,1502,12.1667,7.59063
21,126,1502,1572,11.6667,7.20013
22,132,1572,1642,11.6667,7.03752
23,138,1642,1712,11.6667,6.99589
24,144,1712,1781,11.5,5.42021
25,150,1781,1837,9.33333,4.60471
26,156,1837,1897,10,4.09471
27,162,1897,1955,9.66667,4.33647
