k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,76,12.6667,8.29249
1,6,76,148,12,7.24098
2,12,148,217,11.5,7.10377
3,18,217,301,14,11.1149
4,24,301,386,14.1667,11.8934
5,30,386,457,11.8333,7.05196
6,36,457,523,11,6.51825
7,42,523,594,11.8333,6.23255
8,48,594,669,12.5,6.72666
9,54,669,742,12.1667,5.82945
10,60,742,811,11.5,6.42198
11,66,811,875,10.6667,5.34807
12,72,875,947,12,7.27656
13,78,947,1021,12.3333,7.28509
14,84,1021,1104,13.8333,10.8109
15,90,1104,1180,12.6667,8.90704
16,96,1180,1255,12.5,8.16152
17,102,1255,1328,12.1667,6.45111
18,108,1328,1402,12.3333,6.99004
19,114,1402,1473,11.8333,6.92202
20,120,1473,1543,11.6667,7.20428
21,126,1543,1615,11.9998,6.85205
22,132,1615,1687,12.0002,6.68162
23,138,1687,1759,12,6.38856
24,144,1759,1829,11.6667,6.03725
25,150,1829,1903,12.3333,6.59003
26,156,1903,1976,12.1667,6.48835
27,162,1976,2047,11.8333,5.96142
28,168,2047,2122,12.5,6.98354
29,174,2122,2194,12,6.89561
30,180,2194,2267,12.1667,7.86584
31,186,2267,2340.13,12.1881,7.80479
32,192,2340.13,2415,12.4786,8.52164
33,198,2415,2484,11.5,5.91499
34,204,2484,2553,11.5,5.86009
35,210,2553,2629,12.6667,8.18648
36,216,2629,2704,12.5,8.82213
37,222,2704,2773,11.5,7.89047
38,228,2773,2844,11.8333,8.44295
39,234,2844,2916,12,8.25266
40,240,2916,2985,11.5,6.59065
41,246,2985,3056,11.8333,6.6704
42,252,3056,3128,12,6.72181
43,258,3128,3199,11.8333,6.89306
44,264,3199,3272,12.1667,7.51638
45,270,3272,3345,12.1667,7.40086
46,276,3345,3393.24,12.06,4.8029
