k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,80,13.3333,9.65512
1,6,80,156,12.6667,8.38256
2,12,156,230,12.3333,8.80304
3,18,230,307,12.8333,8.21798
4,24,307,383,12.6667,8.60702
5,30,383,458,12.5,8.73297
6,36,458,531,12.1667,8.51486
7,42,531,608,12.8333,8.01179
8,48,608,679,11.8333,5.73579
9,54,679,749,11.6667,5.96483
10,60,749,818,11.5,6.23155
11,66,818,891,12.1667,7.87832
12,72,891,966,12.5,8.56283
13,78,966,1043,12.8333,8.21902
14,84,1043,1116,12.1667,7.67778
15,90,1116,1187,11.8333,7.82764
16,96,1187,1258,11.8333,6.36251
17,102,1258,1331,12.1667,6.44627
18,108,1331,1402,11.8333,6.42102
19,114,1402,1472,11.6667,7.02635
20,120,1472,1542,11.6667,7.18692
21,126,1542,1614,12,6.86356
22,132,1614,1685,11.8333,6.39752
23,138,1685,1757,12,6.36366
24,144,1757,1829,12,6.46835
25,150,1829,1904,12.5,6.87342
26,156,1904,1976,12,6.22982
27,162,1976,2050,12.3333,6.78599
28,168,2050,2127,12.8333,8.36453
29,174,2127,2199,12,6.8796
30,180,2199,2273,12.3333,8.20132
31,186,2273,2342,11.5,6.60178
32,192,2342,2412,11.6667,6.96927
33,198,2412,2483,11.8333,6.44125
34,204,2483,2553,11.6667,6.1241
35,210,2553,2626,12.1667,7.44598
36,216,2626,2698,12,7.79915
37,222,2698,2769,11.8333,8.76136
38,228,2769,2841,12,8.79151
39,234,2841,2915,12.3333,8.90757
40,240,2915,2986,11.8333,7.17722
41,246,2986,3058,12,6.94597
42,252,3058,3130,12,6.7342
43,258,3130,3202,12,7.20795
44,264,3202,3274,12,7.19675
45,270,3274,3346,12,7.08797
46,276,3346,3393,11.75,4.42787
