k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,56,9.33333,5.96829
1,6,56,115,9.83333,6.77938
2,12,115,177,10.3333,6.07571
3,18,177,238,10.1667,6.27151
4,24,238,301,10.5,6.71783
5,30,301,365,10.6667,6.97402
6,36,365,431,11,7.44581
7,42,431,501,11.6667,6.41544
8,48,501,564,10.5,5.63239
9,54,564,637,12.1667,8.90013
10,60,637,712,12.5,8.80279
11,66,712,783,11.8333,6.71568
12,72,783,853,11.6667,7.08659
13,78,853,926,12.1667,7.3563
14,84,926,999,12.1667,8.17299
15,90,999,1074,12.5,8.70209
16,96,1074,1148,12.3333,8.75006
17,102,1148,1220,12,8.78125
18,108,1220,1293,12.1667,8.96177
19,114,1293,1364,11.8333,7.9461
20,120,1364,1435,11.8333,7.78797
21,126,1435,1511,12.6667,7.78733
22,132,1511,1581,11.6667,7.82443
23,138,1581,1660,13.1667,12.7327
24,144,1660,1734,12.3333,11.5157
25,150,1734,1808,12.3333,9.3131
26,156,1808,1880,12,8.61549
27,162,1880,1955,12.5,10.8711
