k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69,11.5,6.41294
1,6,69,136,11.1667,6.64262
2,12,136,204,11.3333,7.74115
3,18,204,278,12.3333,9.17933
4,24,278,352,12.3333,8.67587
5,30,352,427,12.5,9.32853
6,36,427,500,12.1667,8.09312
7,42,500,576,12.6667,8.21897
8,48,576,655,13.1667,8.1248
9,54,655,731,12.6667,8.69408
10,60,731,808,12.8333,9.75013
11,66,808,883,12.5,9.5543
12,72,883,960,12.8333,10.1458
13,78,960,1036,12.6667,9.42074
14,84,1036,1111,12.5,9.29577
15,90,1111,1185,12.3333,8.61634
16,96,1185,1259,12.3333,9.08942
17,102,1259,1336,12.8333,10.1361
18,108,1336,1412,12.6667,9.14813
19,114,1412,1488,12.6667,8.59704
20,120,1488,1562,12.3333,8.23046
21,126,1562,1638,12.6667,8.38355
22,132,1638,1715,12.8333,7.58335
23,138,1715,1792,12.8333,8.32461
24,144,1792,1867,12.5,7.01357
25,150,1867,1943,12.6667,7.49198
26,156,1943,2018,12.5,7.55729
27,162,2018,2093,12.5,7.41608
28,168,2093,2169,12.6667,7.82811
29,174,2169,2245,12.6667,6.60261
30,180,2245,2318,12.1667,7.6075
31,186,2318,2387,11.5,6.44997
32,192,2387,2456,11.5,7.3275
33,198,2456,2526,11.6667,7.58238
34,204,2526,2597,11.8333,6.80473
35,210,2597,2669,12,6.96946
36,216,2669,2738,11.5,6.99713
37,222,2738,2805,11.1667,7.07075
38,228,2805,2873,11.3333,6.88566
39,234,2873,2942,11.5,6.8506
40,240,2942,3010,11.3333,6.71918
41,246,3010,3076,11,6.96768
42,252,3076,3142,11,6.6903
43,258,3142,3211,11.5,6.54622
44,264,3211,3279,11.3333,6.43261
45,270,3279,3348,11.5,6.44284
46,276,3348,3394,11.5,4.30549
