k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,7.07004
1,6,72,140,11.3333,6.3266
2,12,140,203,10.5,5.81057
3,18,203,266,10.5,7.36834
4,24,266,325,9.83333,6.671
5,30,325,387,10.3333,7.08141
6,36,387,447,10,7.48885
7,42,447,511,10.6667,6.0955
8,48,511,592,13.5,9.72527
9,54,592,661,11.5,7.55881
10,60,661,731,11.6667,7.33775
11,66,731,801,11.6667,6.65979
12,72,801,875,12.3333,7.67678
13,78,875,947,12,7.42673
14,84,947,1017,11.6667,8.53531
15,90,1017,1091,12.3333,10.529
16,96,1091,1164,12.1667,7.5708
17,102,1164,1236,12,7.71181
18,108,1236,1309,12.1667,7.07159
19,114,1309,1380.43,11.9046,6.6552
20,120,1380.43,1452,11.9288,7.18984
21,126,1452,1522,11.6667,6.92525
22,132,1522,1585,10.5,5.18743
23,138,1585,1666,13.5,11.1659
24,144,1666,1734,11.3333,5.98336
25,150,1734,1810,12.6667,9.46839
26,156,1810,1890,13.3333,10.5116
27,162,1890,1954.7,10.7831,7.80355
