k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,70,11.6667,6.48236
1,6,70,137,11.1667,6.26955
2,12,137,199,10.3333,5.54527
3,18,199,269,11.6667,9.45634
4,24,269,334,10.8333,8.57862
5,30,334,406,12,11.0975
6,36,406,482,12.6667,12.1429
7,42,482,554,12,8.72669
8,48,554,625,11.8333,8.83224
9,54,625,698,12.1667,8.75067
10,60,698,769,11.8333,7.81473
11,66,769,843,12.3333,7.76927
12,72,843,917,12.3333,7.21546
13,78,917,990,12.1667,7.65794
14,84,990,1059,11.5,7.81855
15,90,1059,1131,12,9.07607
16,96,1131,1209,13,11.7166
17,102,1209,1281,12,7.25653
18,108,1281,1350,11.5,6.91389
19,114,1350,1421,11.8333,7.00388
20,120,1421,1497,12.6667,8.40325
21,126,1497,1571,12.3333,8.13442
22,132,1571,1642,11.8333,7.62542
23,138,1642,1713,11.8333,6.78163
24,144,1713,1780,11.1667,5.56846
25,150,1780,1842,10.3333,4.45281
26,156,1842,1905,10.5,4.94553
27,162,1905,1955,8.33333,3.96923
