time_h,distance_nm,lat_deg,lon_deg,bearing_deg,sog_kn,sws_kn,fcr_mt_per_h,fuel_mt,duration_h,wind_speed_kmh,wind_dir_deg,beaufort,wave_height_m,current_vel_kmh,current_dir_deg
0.0,0.0,47.56999999999999,-52.71000000000001,70.50002385241777,9.901492842222222,10.13427734375,0.7348235346639704,0.6613411811975735,0.9,13.708391189575195,346.32867431640625,3,1.300000011920929,0.3285253494977951,260.7824478149414
0.9,8.911343558,47.620149078617,-52.49999999999068,70.50002385241777,9.644311209545453,9.82666015625,0.6699193331769493,1.4738225329892887,2.2,24.680345153808595,343.6188876091291,4,2.2039999961853027,0.5619577586650848,166.10742222130762
3.1,30.128828219,47.739358231602104,-51.999999999989825,70.50002385241777,9.224993330869564,9.8760986328125,0.6800814933660936,1.5641874347420155,2.3000000000000003,33.2510347366333,333.78617286237113,5,2.584999978542328,0.8146580308675766,160.89245686487712
5.4,51.34631288,47.85829505518642,-51.49999999998897,70.50002385241777,9.422811866666674,9.9017333984375,0.6853909848328618,0.4112345908997168,0.5999999999999996,33.66185760498047,328.5741697481041,5,2.8450000286102295,0.6489992141723633,129.28942048967136
6.0,57.0,47.88994145110913,-51.36676820530781,70.50002385241777,9.727373462499994,9.830322265625,0.6706685904703809,1.0730697447526096,1.6000000000000005,10.462653398513794,339.16752155910234,2,2.5699999928474426,0.17999999225139618,270.0
7.6000000000000005,72.56379754,47.97695966015122,-51.00000000001165,70.50002385241777,10.313279932500038,10.4144287109375,0.7974639425690798,0.31898557702763153,0.39999999999999947,10.462653398513794,339.16752155910234,2,2.5699999928474426,0.17999999225139618,270.0
8.0,76.689109513,47.99999999999737,-50.90278508413172,70.50002385241777,10.054219228235283,10.0518798828125,0.7170452642036603,1.2189769491462232,1.700000000000001,13.217443466186523,330.642333984375,3,2.700000047683716,0.2545584440231323,135.00009155273438
9.700000000000001,93.781282201,48.09535216171696,-50.5000000000108,70.50002385241777,9.644311209545458,9.81201171875,0.6669278843685461,1.4672413456108009,2.1999999999999993,16.423894119262695,327.5301101226694,3,2.783999967575073,0.41555534601211547,190.2504297669607
11.9,114.998766862,48.21347267947571,-50.00000000000995,70.50002385241777,10.01233138000007,10.364990234375,0.7861608141471624,0.07861608141471596,0.09999999999999964,20.771218299865723,327.2173950391056,4,2.940000057220459,0.512507252395153,207.05195152439018
12.0,116.0,48.21903995748601,-49.97640547045097,70.50002385241777,10.108125761500006,9.6783447265625,0.6400412456109411,1.2800824912218822,2.0,15.69772458076477,250.4792199279732,3,2.534999966621399,1.2884032875299454,122.19393529411667
14.0,136.216251523,48.33132133737958,-49.500000000009095,70.50002385241777,10.608742330499993,10.1800537109375,0.7448261386517365,1.489652277303473,2.0,15.69772458076477,250.4792199279732,3,2.534999966621399,1.2884032875299454,122.19393529411667
16.0,157.433736184,48.448898263701324,-49.00000000000824,70.50002385241777,10.263265892222213,9.4769287109375,0.600907386055314,0.5408166474497839,0.9000000000000021,16.52827787399292,258.62204973928755,3,2.685000002384186,2.191880613565445,120.32382752595022
16.900000000000002,166.670675487,48.500000000000696,-48.78232718321118,70.50002385241777,10.299385920909101,9.771728515625,0.6587473466211122,0.724622081283222,1.0999999999999979,19.586907068888348,270.2142938933987,3,2.9666666984558105,1.4043683211008708,116.23102458631085
18.0,178.0,48.56260721835995,-48.515346325347195,70.50002385241777,13.0,12.196044921875,1.28074228098799,7.68445368592794,6.0,26.359296162923176,227.51591024293526,4,2.700000047683716,1.8979102770487468,108.37251628710034
