k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,8.28535
1,6,72,152,13.3333,9.3499
2,12,152,231,13.1667,11.9232
3,18,231,304,12.1667,9.12153
4,24,304,376,12,8.7855
5,30,376,458,13.6667,11.4522
6,36,458,542,14,11.9522
7,42,542,626,14,9.61751
8,48,626,706,13.3333,8.94894
9,54,706,785,13.1667,8.79342
10,60,785,860,12.5,7.94064
11,66,860,933,12.1667,7.81574
12,72,933,1002,11.5,7.30795
13,78,1002,1074,12,7.61421
14,84,1074,1144,11.6667,6.70098
15,90,1144,1210,11,5.65434
16,96,1210,1282,12,6.34037
17,102,1282,1355,12.1667,6.46962
18,108,1355,1427,12,7.19366
19,114,1427,1498,11.8333,7.22684
20,120,1498,1570,12,7.89568
21,126,1570,1642,12,7.45295
22,132,1642,1713,11.8333,6.80146
23,138,1713,1787,12.3333,6.91068
24,144,1787,1856,11.5,6.95558
25,150,1856,1926,11.6667,7.9398
26,156,1926,1998,12,7.59039
27,162,1998,2070,12,6.88881
28,168,2070,2138,11.3333,6.86174
29,174,2138,2209,11.8333,9.45335
30,180,2209,2281,12,8.84824
31,186,2281,2352,11.8333,8.16964
32,192,2352,2422,11.6667,7.53556
33,198,2422,2493,11.8333,7.60227
34,204,2493,2567,12.3333,7.58978
35,210,2567,2639,12,7.23326
36,216,2639,2711,12,7.63207
37,222,2711,2782,11.8333,7.86798
38,228,2782,2853,11.8333,7.65715
39,234,2853,2923,11.6667,7.6243
40,240,2923,2995,12,7.19345
41,246,2995,3065,11.6667,6.96799
42,252,3065,3137,12,6.96759
43,258,3137,3207,11.6667,6.88834
44,264,3207,3277,11.6667,7.07814
45,270,3277,3347,11.6667,6.9738
46,276,3347,3393,11.5,4.64488
