k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,7.82383
1,6,74.9495,136,10.1751,4.88151
2,12,136,211,12.5,7.78251
3,18,211,286,12.5,7.47486
4,24,286,361,12.5,7.24989
5,30,361,435.899,12.4832,8.69921
6,36,435.899,511.301,12.5669,8.50145
7,42,511.301,586.25,12.4916,8.61326
8,48,586.25,661.2,12.4916,8.48445
9,54,661.2,736,12.4667,6.76175
10,60,736,810,12.3333,7.16367
11,66,810,885,12.5,8.30996
12,72,885,956,11.8333,6.07385
13,78,956,1026,11.6667,6.09537
14,84,1026,1100,12.3333,7.22329
15,90,1100,1170,11.6667,6.26297
16,96,1170,1239,11.5,7.40075
17,102,1239,1313,12.3333,8.21301
18,108,1313,1383.82,11.8027,8.15909
19,114,1383.82,1438.78,9.16049,4.58711
20,120,1438.78,1498.74,9.99326,4.7111
21,126,1498.74,1558.7,9.99326,4.87693
22,132,1558.7,1619.24,10.091,5.34038
23,138,1619.24,1679,9.95922,4.5536
24,144,1679,1745,11,5.76062
25,150,1745,1819,12.3333,6.59808
26,156,1819,1879,10,4.56304
27,162,1879,1954.03,12.5057,8.40733
