k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,4200,168,4200,0,0,12.4916,,,7.82383,0.442595
1,4206,162,4206,0,74.9495,10.1751,12.4916,-2.31649,4.88151,0.411606
2,4212,156,4212,0,136,12.5,12.5,0,7.78251,0.363081
3,4218,150,4218,0,211,12.5,12.5,0,7.47486,0.316431
4,4224,144,4224,0,286,12.5,11.6667,0.833333,7.24989,0.279555
5,4230,138,4230,0,361,12.4832,12,0.483173,8.69921,0.257883
6,4236,132,4236,0,435.899,12.5669,11.6835,0.883427,8.50145,0.237326
7,4242,126,4242,0,511.301,12.4916,12.4916,0,8.61326,0.215208
8,4248,120,4248,0,586.25,12.4916,12.4583,0.0332513,8.48445,0.189061
9,4254,114,4254,0,661.2,12.4667,12.4667,0,6.76175,0.164787
10,4260,108,4260,0,736,12.3333,11.8333,0.5,7.16367,0.133441
11,4266,102,4266,0,810,12.5,12.5,0,8.30996,0.0947443
12,4272,96,4272,0,885,11.8333,11.8333,0,6.07385,0.0765845
13,4278,90,4278,0,956,11.6667,12.5,-0.833333,6.09537,0.0711498
14,4284,84,4284,0,1026,12.3333,12.3333,0,7.22329,0.05823
15,4290,78,4290,0,1100,11.6667,11.6667,0,6.26297,0.0470435
16,4296,72,4296,0,1170,11.5,11.6667,-0.166667,7.40075,0.0403942
17,4302,66,4302,0,1239,12.3333,12.3333,0,8.21301,0.033247
18,4308,60,4308,0,1313,11.8027,10.97,0.832772,8.15909,0.0248185
19,4314,54,4314,0,1383.82,9.16049,9.99326,-0.832772,4.58711,0.0281763
20,4320,48,4320,0,1438.78,9.99326,9.99326,0,4.7111,0.016144
21,4326,42,4326,0,1498.74,9.99326,9.99326,0,4.87693,0.0128805
22,4332,36,4332,0,1558.7,10.091,10.091,0,5.34038,0.00946542
23,4338,30,4338,0,1619.24,9.95922,9.95922,0,4.5536,0.00644258
24,4344,24,4344,0,1679,11,11,0,5.76062,0.00499442
25,4350,18,4350,0,1745,12.3333,12.3333,0,6.59808,0.00295046
26,4356,12,4356,0,1819,10,10,0,4.56304,0.00103192
27,4362,6,4362,0,1879,12.5057,12.5057,0,8.40733,0.000217334
