k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,75,12.5,7.83895
1,6,75,148,12.1667,7.96715
2,12,148,224,12.6667,8.28686
3,18,224,298,12.3333,7.19839
4,24,298,370,12,7.00665
5,30,370,440,11.6667,7.11471
6,36,440,510,11.6667,6.73938
7,42,510,580,11.6667,7.08625
8,48,580,652,12,7.58166
9,54,652,728,12.6667,7.00374
10,60,728,803,12.5,7.42113
11,66,803,871,11.3333,6.18284
12,72,871,945,12.3333,6.83855
13,78,945,1016,11.8333,6.7716
14,84,1016,1086,11.6667,6.22778
15,90,1086,1154,11.3333,6.22404
16,96,1154,1220,11,6.81987
17,102,1220,1289,11.5,6.45211
18,108,1289,1356,11.1667,6.72598
19,114,1356,1417,10.1667,6.12576
20,120,1417,1483,11,6.38264
21,126,1483,1546,10.5,5.57886
22,132,1546,1610,10.6667,6.28389
23,138,1610,1675,10.8333,5.88615
24,144,1675,1743,11.3333,6.50411
25,150,1743,1814,11.8333,5.67767
26,156,1814,1880,11,6.00721
27,162,1880,1954,12.3333,8.06888
