k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,7.87318
1,6,74.9495,149.899,12.4916,8.14363
2,12,149.899,221,11.8502,7.09796
3,18,221,286,10.8333,4.95071
4,24,286,353,11.1667,5.90462
5,30,353,420.909,11.3182,6.32238
6,36,420.909,491,11.6818,6.36052
7,42,491,571,13.3333,9.82278
8,48,571,651,13.3333,9.46441
9,54,651,726,12.5,8.54541
10,60,726,802,12.6667,7.84477
11,66,802,876,12.3333,7.20747
12,72,876,956,13.3333,8.66485
13,78,956,1027,11.8333,7.80273
14,84,1027,1100,12.1667,7.42485
15,90,1100,1169,11.5,6.6985
16,96,1169,1243,12.3333,7.42765
17,102,1243,1304,10.1667,4.0516
18,108,1304,1363.83,9.97164,4.64293
19,114,1363.83,1423.79,9.99326,5.43477
20,120,1423.79,1483.75,9.99326,4.21419
21,126,1483.75,1543.71,9.99326,4.38036
22,132,1543.71,1603.67,9.99326,4.47669
23,138,1603.67,1674.21,11.7566,6.66832
24,144,1674.21,1744,11.6321,6.24422
25,150,1744,1817,12.1667,6.98354
26,156,1817,1891.77,12.4612,9.39524
27,162,1891.77,1954.03,10.3778,5.69619
