node_id,segment,lat,lon,planned_sog_knots,actual_sog_knots,planned_sws_knots,actual_sws_knots,distance_nm,time_h,fuel_mt,cum_distance_nm,cum_time_h,cum_fuel_mt,beaufort,wave_height_m,current_knots,heading_deg
0,0,24.75,52.83,11.809718195865253,11.809718195865253,11.4984130859375,11.4984130859375,11.999999999999728,1.0161123069135634,1.090586539164808,11.999999999999728,1.0161123069135634,1.090586539164808,3,0.5600000023841858,0.4346568628212288,60.344368723297364
1,0,24.84876888297169,53.02140620562197,11.809718195865253,11.809718195865253,11.756591796875,11.756591796875,11.999999999999988,1.0161123069135853,1.1657105586790433,23.999999999999716,2.0322246138271485,2.2562970978438512,2,0.699999988079071,0.30734877606962463,60.42465267944973
2,0,24.947293551215168,53.21311787900344,11.809718195865253,11.809718195865253,12.1392822265625,12.1392822265625,12.000000000000128,1.0161123069135973,1.2832918552582933,35.999999999999844,3.048336920740746,3.5395889531021445,2,0.7599999904632568,0.5233961099167365,60.50536427633032
3,0,25.045572510655717,53.40513612577071,11.809718195865253,11.809718195865253,12.2161865234375,12.2161865234375,11.999999999999957,1.016112306913583,1.3078362716514023,47.9999999999998,4.064449227654329,4.847425224753547,2,0.800000011920929,0.5667231510318896,60.58650395191597
4,0,25.143604263274423,53.597462042488274,11.809718195865253,11.809718195865253,11.873779296875,11.873779296875,12.00000000000012,1.0161123069135967,1.2009179307059814,59.99999999999992,5.080561534567925,6.048343155459528,3,0.699999988079071,0.5911972301310133,60.668072137161765
5,0,25.241387307125184,53.790096716503086,11.809718195865253,11.809718195865253,11.903076171875,11.903076171875,11.999999999999723,1.016112306913563,1.2098291684312767,71.99999999999964,6.096673841481488,7.258172323890805,3,0.7200000286102295,0.7075700208898754,60.75006925581039
6,0,25.338920136352513,53.983041225787304,11.809718195865253,11.809718195865253,11.39404296875,11.39404296875,12.000000000000341,1.0161123069136153,1.0611578014455705,83.99999999999999,7.112786148395103,8.319330125336375,2,0.7200000286102295,0.5667231510318896,60.83249572424165
7,0,25.436201241210174,54.17629663877965,11.809718195865253,11.809718195865253,11.39404296875,11.39404296875,12.000000000000142,1.0161123069135984,1.0611578014455527,96.00000000000013,8.128898455308702,9.380487926781928,2,0.7200000286102295,0.5667231510318896,60.91535195129307
8,0,25.533229108080562,54.36986401422522,11.809718195865253,11.809718195865253,11.4471435546875,11.4471435546875,11.999999999999872,1.0161123069135756,1.0760632514523218,108.0,9.145010762222277,10.45655117823425,2,0.5799999833106995,0.7075700208898754,60.998638338078784
9,0,25.63000221949503,54.56374440101395,11.809718195865253,11.809718195865253,11.4013671875,11.4013671875,12.000000000000355,1.0161123069136164,1.063205489606228,120.00000000000036,10.161123069135893,11.519756667840477,2,0.5799999833106995,0.5911972301310133,61.082355277843845
