node_id,segment,lat,lon,target_sog_knots,actual_sog_knots,required_sws_knots,clamped_sws_knots,distance_nm,time_h,fuel_mt,cum_distance_nm,cum_time_h,cum_fuel_mt,beaufort,wave_height_m,current_knots,heading_deg
0,0,24.75,52.83,11.982705384280768,11.982705384280768,11.6705322265625,11.6705322265625,11.999999999999728,1.0014432980837238,1.123836290679955,11.999999999999728,1.0014432980837238,1.123836290679955,3,0.5600000023841858,0.4346568628212288,60.344368723297364
1,0,24.84876888297169,53.02140620562197,11.982705384280768,11.982705384280768,11.9287109375,11.9287109375,11.999999999999988,1.0014432980837455,1.2000839003837045,23.999999999999716,2.0028865961674693,2.3239201910636593,2,0.699999988079071,0.30734877606962463,60.42465267944973
2,0,24.947293551215168,53.21311787900344,11.982705384280766,11.982705384280766,12.40478515625,12.40478515625,12.000000000000128,1.0014432980837573,1.3495805367689937,35.999999999999844,3.0043298942512267,3.673500727832653,2,0.7599999904632568,0.29157668545230675,60.50536427633032
3,0,25.045572510655717,53.40513612577071,11.982705384280768,11.982705384280768,12.4908447265625,12.4908447265625,11.999999999999957,1.0014432980837429,1.3778644482760394,47.9999999999998,4.00577319233497,5.051365176108693,3,0.800000011920929,0.29157668545230675,60.58650395191597
4,0,25.143604263274423,53.597462042488274,11.982705384280768,11.982705384280768,12.31689453125,12.31689453125,12.00000000000012,1.0014432980837567,1.3210970821480539,59.99999999999992,5.007216490418727,6.372462258256746,3,0.8399999737739563,0.2749011274547865,60.668072137161765
5,0,25.241387307125184,53.790096716503086,11.982705384280768,11.982705384280768,12.349853515625,12.349853515625,11.999999999999723,1.0014432980837233,1.3317309241577195,71.99999999999964,6.00865978850245,7.704193182414466,3,0.8600000143051147,0.4123516911821798,60.75006925581039
6,0,25.338920136352513,53.983041225787304,11.98270538428077,11.98270538428077,12.3883056640625,12.3883056640625,12.000000000000341,1.0014432980837749,1.344209012276573,83.99999999999999,7.010103086586224,9.04840219469104,3,0.8600000143051147,0.4859611102365778,60.83249572424165
7,0,25.436201241210174,54.17629663877965,11.982705384280768,11.982705384280768,12.3077392578125,12.3077392578125,12.000000000000142,1.0014432980837584,1.318153316522544,96.00000000000013,8.011546384669982,10.366555511213583,3,0.8399999737739563,0.4123516911821798,60.91535195129307
8,0,25.533229108080562,54.36986401422522,11.982705384280766,11.982705384280766,12.144775390625,12.144775390625,11.999999999999872,1.001443298083736,1.2664834741976148,108.0,9.012989682753718,11.633038985411199,2,0.8199999928474426,0.35043154112978575,60.998638338078784
9,0,25.63000221949503,54.56374440101395,11.98270538428077,11.98270538428077,12.39013671875,12.39013671875,12.000000000000355,1.001443298083776,1.3448051431987327,120.00000000000036,10.014432980837494,12.97784412860993,2,0.800000011920929,0.5667231510318896,61.082355277843845
10,0,25.726519054154934,54.75793883801757,11.982705384280766,11.982705384280766,12.49267578125,12.49267578125,11.999999999999702,1.0014432980837218,1.378470487756844,132.00000000000006,11.015876278921215,14.356314616366776,3,0.7799999713897705,0.29157668545230675,61.166503155750185
11,0,25.822778086953605,54.952448353925135,11.982705384280768,11.982705384280768,12.6043701171875,12.6043701171875,12.000000000000426,1.0014432980837822,1.4157758753501808,144.00000000000048,12.017319577004997,15.772090491716956,2,0.7400000095367432,0.5911972301310133,61.25108234874175
12,0,25.91877778899915,55.14727396707718,11.982705384280768,11.982705384280768,12.8643798828125,12.8643798828125,11.99999999999946,1.0014432980837014,1.5052118691471426,155.99999999999994,13.018762875088699,17.2773023608641,2,0.6800000071525574,0.783588729203391,61.33609322533856
13,0,26.01451662763809,55.34241668529839,11.982705384280768,11.941376665075698,13.0401611328125,13.0,12.000000000000227,1.0049092610147692,1.5586966663933104,168.00000000000017,14.023672136103468,18.835999027257408,2,0.6600000262260437,0.9220463282088739,61.421536145463634
14,0,26.109993066479976,55.53787750572894,11.98303506219232,11.893905551065432,13.0859375,13.0,12.000000000000455,1.008920068221453,1.5649177572570678,180.00000000000063,15.03259220432492,20.400916784514475,2,0.6399999856948853,0.9572323789864328,61.50741146027081
15,0,26.205205565422748,55.733657414654395,11.983754646234534,11.983754646234534,12.6263427734375,12.6263427734375,12.0,1.0013556146837979,1.423068363248834,192.00000000000063,16.03394781900872,21.82398514776331,2,0.6200000047683716,0.4859611102365778,61.593719511948805
16,0,26.300152580679118,55.9297573873342,11.983754646234534,11.983754646234534,12.4981689453125,12.4981689453125,11.999999999999744,1.0013556146837765,1.38016881832516,204.00000000000037,17.035303433692498,23.20415396608847,2,0.5600000023841858,0.35043154112978575,61.68046063356184
17,0,26.394832564803792,56.12617838782891,11.983754646234534,11.983754646234534,12.5933837890625,12.5933837890625,19.74049634903588,1.6472714046460075,2.322721699105516,223.74049634903625,18.682574838338507,25.526875665193984,2,0.5199999809265137,0.4859611102365778,61.767635148843624
18,1,26.55,56.45,11.983754646234535,11.983754646234535,11.81884765625,11.81884765625,12.000000000000284,1.0013556146838214,1.1671278769876756,235.74049634903653,19.683930453022327,26.694003542181658,2,0.4000000059604645,0.49558503967639433,120.70349740545363
19,1,26.44782122536709,56.64193630809914,11.983754646234535,11.983754646234535,11.5057373046875,11.5057373046875,12.0,1.0013556146837976,1.0768033567715687,247.74049634903653,20.685286067706127,27.770806898953225,1,0.3199999928474426,0.4859611102365778,120.78913579862181
20,1,26.34538650869462,56.83353195085728,11.983754646234535,11.983754646234535,11.375732421875,11.375732421875,12.000000000000085,1.0013556146838047,1.0407133908108315,259.7404963490366,21.686641682389933,28.811520289764058,2,0.25999999046325684,0.6223338984001274,120.87431588691152
21,1,26.242697448224845,57.02478821129246,11.983754646234534,11.983754646234534,11.6339111328125,11.6339111328125,11.999999999999773,1.001355614683779,1.1131924816715983,271.7404963490364,22.68799729707371,29.924712771435658,3,0.30000001192092896,0.4123516911821798,120.95903829328337
22,1,26.139755637239208,57.21570638164479,11.983754646234534,11.983754646234534,11.3739013671875,11.3739013671875,12.0,1.0013556146837979,1.0402109274045945,283.7404963490364,23.68935291175751,30.964923698840252,3,0.3400000035762787,0.8304107523891374,121.04330364780895
23,1,26.036562664045167,57.40628776319425,11.983754646234534,11.983754646234534,11.5240478515625,11.5240478515625,12.000000000000512,1.0013556146838405,1.0819525060383823,295.7404963490369,24.69070852644135,32.046876204878636,3,0.2800000011920929,0.6146975521392493,121.12711258749904
24,1,25.93312011196392,57.596533666080425,11.983754646234535,11.983754646234535,11.7767333984375,11.7767333984375,11.999999999999261,1.0013556146837361,1.1546957548694095,307.74049634903616,25.692064141125087,33.201571959748044,2,0.3199999928474426,0.2173284314106144,121.21046575611574
25,1,25.829429559318967,57.78644540912427,11.983754646234534,11.983754646234534,12.08251953125,12.08251953125,12.000000000000057,1.0013556146838025,1.246997422676386,319.7404963490362,26.69341975580889,34.44856938242443,3,0.3799999952316284,0.09719222043811888,121.29336380396474
26,1,25.72549257942552,57.97602431965198,11.983754646234535,11.983754646234535,12.1649169921875,12.1649169921875,11.999999999999943,1.001355614683793,1.2726837176048207,331.74049634903616,27.694775370492682,35.72125310002925,4,0.47999998927116394,0.09719222043811888,121.37580738770976
27,1,25.62131074058087,58.165271733320694,11.983754646234534,11.983754646234534,12.716064453125,12.716064453125,12.000000000000114,1.0013556146838074,1.4536210383878279,343.7404963490363,28.696130985176488,37.17487413841708,5,0.5799999833106995,0.09719222043811888,121.45779717019748
28,1,25.516885606055467,58.35418899394638,11.983754646234535,11.983754646234535,12.7764892578125,12.7764892578125,12.000000000000284,1.0013556146838214,1.4744418213170123,355.74049634903656,29.69748659986031,38.649315959734096,5,0.7599999904632568,0.2173284314106144,121.53933382025991
29,1,25.412218734084895,58.542777453333606,11.983754646234535,11.972535890455397,13.0108642578125,13.0,11.99999999999983,1.002293925847934,1.5546400670920653,367.7404963490364,30.699780525708242,40.20395602682616,5,0.8199999928474426,0.49558503967639433,121.62041801253488
30,1,25.30731167786265,58.73103847110737,11.983857523345185,11.983857523345185,12.93212890625,12.93212890625,12.000000000000114,1.0013470184056747,1.5289714814038222,379.7404963490365,31.701127544113916,41.732927508229984,5,0.7599999904632568,0.40073380614459897,121.70105042728271
31,1,25.202165985533703,58.918973414546954,11.983857523345186,11.983857523345186,12.6519775390625,12.6519775390625,11.999999999999943,1.0013470184056603,1.4317412802257188,391.74049634903645,32.702474562519576,43.1646687884557,5,0.6399999856948853,0.35043154112978575,121.7812317502071
32,1,25.09678320018889,59.10658365842173,11.983857523345185,11.983857523345185,11.8701171875,11.8701171875,12.000000000000398,1.0013470184056985,1.1823725257887476,403.74049634903685,33.70382158092527,44.34704131424445,4,0.6000000238418579,0.29157668545230675,121.86096267228741
33,1,24.99116485986,59.29387058482896,11.983857523345185,11.983857523345185,12.174072265625,12.174072265625,11.999999999999602,1.0013470184056321,1.2755483822516287,415.74049634903645,34.705168599330904,45.62258969649608,4,0.7200000286102295,0.2749011274547865,121.94024388958603
34,1,24.885312497515738,59.48083558303363,11.983857523345185,11.983857523345185,12.0916748046875,12.0916748046875,11.999999999999602,1.0013470184056321,1.2498234994526412,427.74049634903605,35.706515617736535,46.87241319594872,3,0.7599999904632568,0.2749011274547865,122.01907610308272
35,1,24.77922764105834,59.66748004931028,11.983857523345185,11.983857523345185,12.357177734375,12.357177734375,12.000000000000341,1.0013470184056936,1.33397346162308,439.7404963490364,36.70786263614223,48.2063866575718,4,0.7799999713897705,0.29157668545230675,122.09746001851062
36,1,24.672911813320983,59.85380538678673,11.983857523345185,11.983857523345185,12.8863525390625,12.8863525390625,12.000000000000284,1.001347018405689,1.5127924043800933,451.7404963490367,37.70920965454792,49.71917906195189,4,0.800000011920929,0.8801129801484472,122.17539634617337
37,1,24.566366532065913,60.039813005289865,11.983857523345185,11.716890502178991,13.265380859375,13.0,11.999999999999318,1.0241625111856834,1.5885600361749121,463.740496349036,38.733372165733606,51.3077390981268,3,0.8999999761581421,1.3745055085381988,122.25288580078437
38,1,24.4595933099833,60.22550432119334,11.986557500826898,11.957495366497056,13.0291748046875,13.0,12.00000000000017,1.0035546435269551,1.5565955435910768,475.74049634903616,39.73692680926056,52.86433464171788,3,0.9599999785423279,1.0866421087771718,122.32992910129684
39,1,24.352593654690743,60.41088075726735,11.986848389974108,11.986848389974108,12.734375,12.734375,12.00000000000017,1.0010971699647977,1.4595327316602125,487.74049634903633,40.73802397922536,54.32386737337809,3,1.0199999809265137,0.783588729203391,122.40652697074967
40,1,24.24536906873355,60.59594374253017,11.98684838997411,11.98684838997411,12.8076171875,12.8076171875,18.45846273425218,1.5398929004300226,2.2840217361814013,506.1989590832885,42.277916879655386,56.607889109559494,4,1.100000023841858,0.783588729203391,122.48268013609407
41,2,24.08,60.88,11.986848389974112,11.986848389974112,12.7105712890625,12.7105712890625,11.999999999999659,1.0010971699647546,1.451363333382562,518.1989590832882,43.27901404962014,58.059252442942054,4,1.159999966621399,0.6803455672047822,116.78462699446389
42,2,23.989809204796092,61.07529066933396,11.986848389974112,11.986848389974112,12.7471923828125,12.7471923828125,12.000000000000341,1.0010971699648115,1.4639443086866297,530.1989590832885,44.280111219584946,59.52319675162868,4,1.2000000476837158,0.783588729203391,116.86416762538227
43,2,23.899371501471848,61.27030755008517,11.98684838997411,11.98684838997411,12.6702880859375,12.6702880859375,12.0,1.0010971699647833,1.4376077439526804,542.1989590832885,45.28120838954973,60.960804495581364,4,1.2599999904632568,0.5911972301310133,116.94331589621184
