k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,70,11.6667,6.92903
1,6,70,140,11.6667,6.96616
2,12,140,213,12.1667,6.39704
3,18,213,277,10.6667,5.93924
4,24,277,344,11.1667,5.69128
5,30,344,418,12.3333,7.4075
6,36,418,489,11.8333,8.03598
7,42,489,563,12.3333,7.45577
8,48,563,638,12.5,7.02812
9,54,638,720,13.6667,7.70524
10,60,720,796,12.6667,7.56457
11,66,796,867,11.8333,5.74825
12,72,867,947,13.3333,8.35002
13,78,947,1020,12.1667,7.38179
14,84,1020,1091,11.8333,7.37083
15,90,1091,1156,10.8333,5.89881
16,96,1156,1221,10.8333,5.79969
17,102,1221,1291,11.6667,5.78272
18,108,1291,1365,12.3333,7.5161
19,114,1365,1434,11.5,6.76822
20,120,1434,1500,11,6.42444
21,126,1500,1568,11.3333,6.31205
22,132,1568,1639,11.8333,6.63867
23,138,1639,1708,11.5,6.35693
24,144,1708,1779,11.8333,6.58488
25,150,1779,1849,11.6667,6.61201
26,156,1849,1920,11.8333,6.7444
27,162,1920,1990,11.6667,6.74916
28,168,1990,2059,11.5,6.78192
29,174,2059,2123,10.6667,5.01814
30,180,2123,2203,13.3333,10.4173
31,186,2203,2280,12.8333,10.1143
32,192,2280,2356,12.6667,9.10669
33,198,2356,2432,12.6667,8.14439
34,204,2432,2508,12.6667,8.22626
35,210,2508,2583,12.5,7.85665
36,216,2583,2666,13.8333,11.0222
37,222,2666,2738,12,7.84981
38,228,2738,2810.87,12.1443,7.30571
39,234,2810.87,2884,12.1891,7.1817
40,240,2884,2960,12.6667,8.71745
41,246,2960,3032,12,8.57342
42,252,3032,3104,12,8.13006
43,258,3104,3184,13.3333,9.40885
44,264,3184,3262,13,9.45447
45,270,3262,3341,13.1667,10.3622
46,276,3341,3393.24,13.06,6.49972
