k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,68,11.3333,6.05295
1,6,68,137,11.5,7.32152
2,12,137,200,10.5,5.68689
3,18,200,269,11.5,7.43211
4,24,269,346,12.8333,9.63455
5,30,346,424,13,10.622
6,36,424,500,12.6667,8.41134
7,42,500,575,12.5,9.6498
8,48,575,657,13.6667,10.4266
9,54,657,736,13.1667,9.95426
10,60,736,813,12.8333,8.83706
11,66,813,891,13,8.52824
12,72,891,965,12.3333,7.35296
13,78,965,1036,11.8333,6.78498
14,84,1036,1106,11.6667,5.94022
15,90,1106,1175,11.5,6.07335
16,96,1175,1241,11,5.85222
17,102,1241,1307,11,5.6833
18,108,1307,1375,11.3333,6.43771
19,114,1375,1441,11,6.63794
20,120,1441,1506,10.8333,6.13877
21,126,1506,1572,11,6.74428
22,132,1572,1642,11.6667,7.7245
23,138,1642,1713,11.8333,8.21554
24,144,1713,1783,11.6667,6.00045
25,150,1783,1838,9.16667,4.03519
26,156,1838,1896,9.66667,3.90349
27,162,1896,1954,9.66667,4.56
