k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,2352,168,2352,0,0,11.5,,,7.24208,14.2218
1,2358,162,2358,0,69,11.6667,12,-0.333333,7.35353,13.0951
2,2364,156,2364,0,139,12.3333,11.5,0.833333,8.99701,12.1229
3,2370,150,2370,0,213,12.1667,12.3333,-0.166667,8.48506,11.1125
4,2376,144,2376,0,286,12.3333,12,0.333333,9.56071,10.1725
5,2382,138,2382,0,360,11.5,12.5,-1,7.5049,9.31056
6,2388,132,2388,0,429,11.8333,11.8333,0,6.67545,8.56602
7,2394,126,2394,0,500,11.3333,11.3333,0,6.29075,7.72619
8,2400,120,2400,0,568,11.5,11.3333,0.166667,6.87086,7.00362
9,2406,114,2406,0,637,11.3333,11.5,-0.166667,7.39305,6.27092
10,2412,108,2412,0,705,11.3333,11.1667,0.166667,6.62311,5.61489
11,2418,102,2418,0,773,11.1667,11,0.166667,6.69061,4.98904
12,2424,96,2424,0,840,11.1667,11.3333,-0.166667,5.83718,4.43849
13,2430,90,2430,0,907,11.3333,11.5,-0.166667,5.97078,3.83228
14,2436,84,2436,0,975,11.3333,11.5,-0.166667,6.17767,3.30333
15,2442,78,2442,0,1043,12.1667,11.8333,0.333333,7.13626,2.86346
16,2448,72,2448,0,1116,11.3333,11.8333,-0.5,6.49177,2.38364
17,2454,66,2454,0,1184,12.1667,11.8333,0.333333,7.29915,1.99062
18,2460,60,2460,0,1257,11.8333,11.5,0.333333,6.58409,1.60781
19,2466,54,2466,0,1328,11.5,11.6667,-0.166667,6.76704,1.27755
20,2472,48,2472,0,1397,11.6667,11.6667,0,7.27611,0.987183
21,2478,42,2478,0,1467,11.8333,11.6667,0.166667,7.04283,0.734495
22,2484,36,2484,0,1538,11.8333,11.8333,0,6.37255,0.514602
23,2490,30,2490,0,1609,11.5,11.5,0,6.20794,0.332926
24,2496,24,2496,0,1678,11.5,11.6667,-0.166667,6.22092,0.186988
25,2502,18,2502,0,1747,12.5,11.6667,0.833333,5.30465,0.0821929
26,2508,12,2508,0,1822,10.5,11.1667,-0.666667,5.97123,0.0189067
27,2514,6,2514,0,1885,11.5,11.5,0,5.61313,0.000526292
