k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,2352,168,2352,0,0,12.4916,,,9.21962,0.468532
1,2358,162,2358,0,74.9495,12.4916,12.4916,0,8.95373,0.42886
2,2364,156,2364,0,149.899,12.5168,11.8575,0.659352,9.43104,0.350893
3,2370,150,2370,0,225,12.3333,12.5,-0.166667,8.95429,0.342353
4,2376,144,2376,0,299,10,11.1577,-1.1577,5.42725,0.2907
5,2382,138,2382,0,359,10,10.3182,-0.31819,5.14076,0.276242
6,2388,132,2388,0,419,10.1667,10.1667,0,4.5603,0.245298
7,2394,126,2394,0,480,10.1667,10.1667,0,4.4218,0.243739
8,2400,120,2400,0,541,10.1667,11.6667,-1.5,4.07595,0.206801
9,2406,114,2406,0,602,11.5,9.83333,1.66667,7.57211,0.196245
10,2412,108,2412,0,671,11.6667,11.6667,0,8.3354,0.159639
11,2418,102,2418,0,741,11.6667,11.6667,0,7.57766,0.141052
12,2424,96,2424,0,811,11.6667,11.6667,0,7.97177,0.120314
13,2430,90,2430,0,881,12.5,12.5,0,7.57423,0.105357
14,2436,84,2436,0,956,11.3333,10.6667,0.666667,5.39724,0.0955464
15,2442,78,2442,0,1024,10.1667,11,-0.833333,4.08911,0.0839216
16,2448,72,2448,0,1085,12.1667,10.8333,1.33333,7.05196,0.0632205
17,2454,66,2454,0,1158,12.3333,12.3333,0,7.8513,0.0566577
18,2460,60,2460,0,1232,12.3333,10.6667,1.66667,7.69902,0.045161
19,2466,54,2466,0,1306,12.3333,12.3333,0,8.15496,0.0387499
20,2472,48,2472,0,1380,12.2949,12.5,-0.205137,8.53586,0.0279759
21,2478,42,2478,0,1453.77,11.6588,12.4916,-0.832772,7.03655,0.0211472
22,2484,36,2484,0,1523.72,12.4916,12.4916,0,7.63474,0.0165962
23,2490,30,2490,0,1598.67,10.8881,10.8881,0,5.43724,0.0103715
24,2496,24,2496,0,1664,12.1667,11.6667,0.5,6.78414,0.00427592
25,2502,18,2502,0,1737,12.5,12.2997,0.200296,5.29459,0.00216788
26,2508,12,2508,0,1812,11.1667,11.1667,0,7.23017,0.00112317
27,2514,6,2514,0,1879,12.5057,12.5057,0,7.14021,0.000222542
