k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,9.21962
1,6,74.9495,149.899,12.4916,8.95373
2,12,149.899,225,12.5168,9.43104
3,18,225,299,12.3333,8.95429
4,24,299,359,10,5.42725
5,30,359,419,10,5.14076
6,36,419,480,10.1667,4.5603
7,42,480,541,10.1667,4.4218
8,48,541,602,10.1667,4.07595
9,54,602,671,11.5,7.57211
10,60,671,741,11.6667,8.3354
11,66,741,811,11.6667,7.57766
12,72,811,881,11.6667,7.97177
13,78,881,956,12.5,7.57423
14,84,956,1024,11.3333,5.39724
15,90,1024,1085,10.1667,4.08911
16,96,1085,1158,12.1667,7.05196
17,102,1158,1232,12.3333,7.8513
18,108,1232,1306,12.3333,7.69902
19,114,1306,1380,12.3333,8.15496
20,120,1380,1453.77,12.2949,8.53586
21,126,1453.77,1523.72,11.6588,7.03655
22,132,1523.72,1598.67,12.4916,7.63474
23,138,1598.67,1664,10.8881,5.43724
24,144,1664,1737,12.1667,6.78414
25,150,1737,1812,12.5,5.29459
26,156,1812,1879,11.1667,7.23017
27,162,1879,1954.03,12.5057,7.14021
