k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69,11.5,7.24208
1,6,69,139,11.6667,7.35353
2,12,139,213,12.3333,8.99701
3,18,213,286,12.1667,8.48506
4,24,286,360,12.3333,9.56071
5,30,360,429,11.5,7.5049
6,36,429,500,11.8333,6.67545
7,42,500,568,11.3333,6.29075
8,48,568,637,11.5,6.87086
9,54,637,705,11.3333,7.39305
10,60,705,773,11.3333,6.62311
11,66,773,840,11.1667,6.69061
12,72,840,907,11.1667,5.83718
13,78,907,975,11.3333,5.97078
14,84,975,1043,11.3333,6.17767
15,90,1043,1116,12.1667,7.13626
16,96,1116,1184,11.3333,6.49177
17,102,1184,1257,12.1667,7.29915
18,108,1257,1328,11.8333,6.58409
19,114,1328,1397,11.5,6.76704
20,120,1397,1467,11.6667,7.27611
21,126,1467,1538,11.8333,7.04283
22,132,1538,1609,11.8333,6.37255
23,138,1609,1678,11.5,6.20794
24,144,1678,1747,11.5,6.22092
25,150,1747,1822,12.5,5.30465
26,156,1822,1885,10.5,5.97123
27,162,1885,1954,11.5,5.61313
