node_id,segment,lat,lon,planned_sog_knots,actual_sog_knots,planned_sws_knots,actual_sws_knots,distance_nm,time_h,fuel_mt,cum_distance_nm,cum_time_h,cum_fuel_mt,beaufort,wave_height_m,current_knots,heading_deg
0,0,24.75,52.83,13,12.915967494769497,13.0841064453125,13.0,11.999999999999728,0.9290825487799731,1.4410832179267383,11.999999999999728,0.9290825487799731,1.4410832179267383,3,0.5600000023841858,0.16198704747350376,60.344368723297364
1,0,24.84876888297169,53.02140620562197,13,12.84974632024282,13.148193359375,13.0,11.999999999999988,0.9338705761915169,1.4485098410602906,23.999999999999716,1.8629531249714901,2.889593058987029,3,0.699999988079071,0.4319654492013655,60.42465267944973
2,0,24.947293551215168,53.21311787900344,13,12.598697303357053,13.40087890625,13.0,12.000000000000128,0.9524794279169326,1.4773736960122517,35.999999999999844,2.8154325528884225,4.3669667549992806,2,0.7599999904632568,0.5939524966748693,60.50536427633032
3,0,25.045572510655717,53.40513612577071,13,12.533033716707841,13.455810546875,13.0,11.999999999999957,0.957469697380827,1.485114013152848,47.9999999999998,3.7729022502692495,5.8520807681521285,2,0.7799999713897705,0.647948189894015,60.58650395191597
4,0,25.143604263274423,53.597462042488274,13,12.630924483875418,13.353271484375,13.0,12.00000000000012,0.950049223658907,1.473604249931305,59.99999999999992,4.722951473928156,7.325685018083433,3,0.800000011920929,0.5399568034557235,60.668072137161765
5,0,25.241387307125184,53.790096716503086,13,12.672412984102827,13.31298828125,13.0,11.999999999999723,0.9469388359622886,1.4687797835620586,71.99999999999964,5.6698903098904445,8.794464801645493,3,0.8199999928474426,0.647948189894015,60.75006925581039
6,0,25.338920136352513,53.983041225787304,13,12.806927440821244,13.184814453125,13.0,12.000000000000341,0.9369928935297256,1.4533528112818739,83.99999999999999,6.60688320342017,10.247817612927367,3,0.8199999928474426,0.647948189894015,60.83249572424165
7,0,25.436201241210174,54.17629663877965,13,12.925154130558502,13.0712890625,13.0,12.000000000000142,0.9284221974288841,1.4400589588323884,96.00000000000013,7.5353054008490545,11.687876571759755,3,0.800000011920929,0.4859611102365778,60.91535195129307
8,0,25.533229108080562,54.36986401422522,13,13.0,12.9925537109375,12.9925537109375,11.999999999999872,0.9230769230769132,1.4293090955009182,108.0,8.458382323925967,13.117185667260674,3,0.800000011920929,0.4859611102365778,60.998638338078784
9,0,25.63000221949503,54.56374440101395,13,12.80411232457742,13.1884765625,13.0,12.000000000000355,0.9371989010879281,1.4536723458972658,120.00000000000036,9.395581225013895,14.57085801315794,3,0.800000011920929,0.647948189894015,61.082355277843845
10,0,25.726519054154934,54.75793883801757,13,12.721892695546243,13.265380859375,13.0,11.999999999999702,0.9432558729410392,1.463067205913133,132.00000000000006,10.338837097954935,16.033925219071072,3,0.7599999904632568,0.16198704747350376,61.166503155750185
11,0,25.822778086953605,54.952448353925135,13,12.65606370416239,13.3349609375,13.0,12.000000000000426,0.9481621047825325,1.4706771738103002,144.00000000000048,11.286999202737467,17.504602392881374,2,0.7200000286102295,0.4859611102365778,61.25108234874175
12,0,25.91877778899915,55.14727396707718,13,12.423688368505694,13.558349609375,13.0,11.99999999999946,0.9658967324405615,1.4981850355473711,155.99999999999994,12.25289593517803,19.002787428428746,2,0.6399999856948853,0.4859611102365778,61.33609322533856
13,0,26.01451662763809,55.34241668529839,13,12.385508035496093,13.5968017578125,13.0,12.000000000000227,0.9688742654406244,1.5028034333881746,168.00000000000017,13.221770200618653,20.50559086181692,2,0.6399999856948853,0.4859611102365778,61.421536145463634
14,0,26.109993066479976,55.53787750572894,13,12.4767161642386,13.507080078125,13.0,12.000000000000455,0.9617915356923377,1.4918175387647425,180.00000000000063,14.183561736310992,21.997408400581662,2,0.6000000238418579,0.4859611102365778,61.50741146027081
15,0,26.205205565422748,55.733657414654395,13,12.899630682409605,13.096923828125,13.0,12.0,0.930259190781611,1.4429082861559228,192.00000000000063,15.113820927092602,23.440316686737585,2,0.5600000023841858,0.10799136230034137,61.593719511948805
16,0,26.300152580679118,55.9297573873342,13,13.0,12.9742431640625,12.9742431640625,11.999999999999744,0.9230769230769034,1.4232745855611757,204.00000000000037,16.036897850169506,24.863591272298763,2,0.5,0.21598272460068274,61.68046063356184
