k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,60,10,4.54108
1,6,60,121,10.1667,4.3881
2,12,121,185,10.6667,4.58178
3,18,185,256,11.8333,7.07674
4,24,256,324,11.3333,6.26562
5,30,324,383,9.83333,4.54639
6,36,383,440,9.5,4.61834
7,42,440,499,9.83333,5.4593
8,48,499,563,10.6667,6.18881
9,54,563,622,9.83333,5.12075
10,60,622,683,10.1667,5.04724
11,66,683,751,11.3333,6.37842
12,72,751,818,11.1667,7.34754
13,78,818,886,11.3333,7.31016
14,84,886,960,12.3333,7.31902
15,90,960,1035,12.5,8.36637
16,96,1035,1110,12.5,8.18554
17,102,1110,1188,13,9.45861
18,108,1188,1262,12.3333,8.70797
19,114,1262,1337,12.5,8.46679
20,120,1337,1412,12.5,9.8749
21,126,1412,1487,12.5,9.44704
22,132,1487,1562,12.5,9.51094
23,138,1562,1636,12.3333,8.7967
24,144,1636,1711,12.5,8.28204
25,150,1711,1792,13.5,10.9623
26,156,1792,1874,13.6667,11.0038
27,162,1874,1954,13.3333,10.8723
