k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,59.9596,9.99326,4.53208
1,6,59.9596,119.919,9.99326,4.15817
2,12,119.919,179.879,9.99326,3.72462
3,18,179.879,239,9.85355,4.0368
4,24,239,300,10.1667,4.52022
5,30,300,365.946,10.991,6.00838
6,36,365.946,430.902,10.826,6.48108
7,42,430.902,491,10.0163,5.85151
8,48,491,556,10.8333,6.41518
9,54,556,626,11.6667,7.83775
10,60,626,691,10.8333,6.1758
11,66,691,771,13.3333,9.27088
12,72,771,836,10.8333,6.5636
13,78,836,898,10.3333,5.70085
14,84,898,971,12.1667,7.04704
15,90,971,1046,12.5,7.87991
16,96,1046,1115,11.5,6.85766
17,102,1115,1190,12.5,8.40134
18,108,1190,1264.95,12.4914,9.014
19,114,1264.95,1340,12.5086,8.49574
20,120,1340,1415,12.5,9.88108
21,126,1415,1490,12.5,9.42335
22,132,1490,1565,12.5,9.4943
23,138,1565,1639,12.3333,8.77549
24,144,1639,1714,12.5,8.74383
25,150,1714,1785,11.8333,7.21001
26,156,1785,1878,15.5,16.7484
27,162,1878,1954.03,12.6724,9.52951
