k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,8.37861
1,6,72,145,12.1667,8.24439
2,12,145,221,12.6667,8.28055
3,18,221,293,12,7.32674
4,24,293,366,12.1667,7.17702
5,30,366,446,13.3333,9.81056
6,36,446,531,14.1667,11.9218
7,42,531,611,13.3333,8.75137
8,48,611,684,12.1667,6.87371
9,54,684,751,11.1667,6.37872
10,60,751,820,11.5,7.33009
11,66,820,885,10.8333,6.82426
12,72,885,953,11.3333,6.74598
13,78,953,1022,11.5,6.12637
14,84,1022,1091,11.5,6.28867
15,90,1091,1161,11.6667,5.72926
16,96,1161,1225,10.6667,5.44858
17,102,1225,1295,11.6667,6.59644
18,108,1295,1357,10.3333,4.89864
19,114,1357,1421,10.6667,5.98571
20,120,1421,1482,10.1667,5.90725
21,126,1482,1542.75,10.1246,5.82969
22,132,1542.75,1606,10.542,5.36248
23,138,1606,1666,10,4.84159
24,144,1666,1734,11.3333,5.86117
25,150,1734,1810,12.6667,8.67235
26,156,1810,1889,13.1667,9.68887
27,162,1889,1954.7,10.9498,6.04858
