k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69,11.5,7.42387
1,6,69,138,11.5,7.14325
2,12,138,211,12.1667,7.37616
3,18,211,286,12.5,8.44086
4,24,286,359,12.1667,7.17806
5,30,359,436,12.8333,9.07524
6,36,436,513,12.8333,9.07341
7,42,513,589,12.6667,7.96451
8,48,589,663,12.3333,7.81408
9,54,663,737,12.3333,8.59067
10,60,737,809,12,8.45841
11,66,809,880,11.8333,8.79747
12,72,880,953,12.1667,9.27499
13,78,953,1023,11.6667,6.38355
14,84,1023,1093,11.6667,6.56803
15,90,1093,1164,11.8333,7.55484
16,96,1164,1236,12,7.5561
17,102,1236,1309,12.1667,7.53068
18,108,1309,1382,12.1667,7.90875
19,114,1382,1453,11.8333,8.15961
20,120,1453,1519,11,6.82865
21,126,1519,1584,10.8333,6.58947
22,132,1584,1650,11,6.11207
23,138,1650,1717,11.1667,5.89869
24,144,1717,1785,11.3333,5.31877
25,150,1785,1840,9.16667,3.77978
26,156,1840,1900,10,4.19326
27,162,1900,1955,9.16667,3.71432
