k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,8.02515
1,6,74.9495,146,11.8418,7.24342
2,12,146,206,10,5.15281
3,18,206,266,10,6.5632
4,24,266,331,10.8333,8.37566
5,30,331,390.929,9.98823,7.12481
6,36,390.929,455,10.6784,9.27793
7,42,455,516,10.1667,5.19076
8,48,516,592,12.6667,7.98952
9,54,592,666.196,12.366,9.32242
10,60,666.196,741,12.4673,8.88515
11,66,741,809,11.3333,6.15488
12,72,809,884,12.5,7.95344
13,78,884,959,12.5,8.24897
14,84,959,1021,10.3333,6.27853
15,90,1021,1090,11.5,9.12651
16,96,1090,1160,11.6667,6.5636
17,102,1160,1225,10.8333,5.35904
18,108,1225,1289.93,10.8219,5.49476
19,114,1289.93,1363.83,12.3164,7.48713
20,120,1363.83,1440,12.695,8.83396
21,126,1440,1515,12.5,8.37014
22,132,1515,1582,11.1667,6.14478
23,138,1582,1659,12.8333,9.58284
24,144,1659,1734,12.5,7.94697
25,150,1734,1808,12.3333,8.61993
26,156,1808,1883,12.5,8.85381
27,162,1883,1954.03,11.839,9.68952
