k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1686,280,1686,0,0,12,,,7.77174,0.282464
1,1692,274,1692,0,72,10.3333,10.3333,0,4.45691,0.258595
2,1698,268,1698,0,134,10.5,10.6667,-0.166667,5.91624,0.252432
3,1704,262,1704,0,197,10.1667,10.1667,0,6.3586,0.211967
4,1710,256,1710,0,258,14.3333,14.3333,0,10.3666,0.205231
5,1716,250,1716,0,344,10.8333,10.8333,0,6.81604,0.188366
6,1722,244,1722,0,409,10.5,10.6667,-0.166667,6.95119,0.193115
7,1728,238,1728,0,472,12,12,0,7.36339,0.179755
8,1734,232,1734,0,544,12.3333,12.3333,0,7.06831,0.183359
9,1740,226,1740,0,618,12,12,0,7.05899,0.18197
10,1746,220,1746,0,690,11.6667,11.6667,0,6.48271,0.160932
11,1752,214,1752,0,760,11.1667,11.1667,0,5.57085,0.150351
12,1758,208,1758,0,827,13.3333,13.3333,0,10.6609,0.137633
13,1764,202,1764,0,907,13,13.3333,-0.333333,9.30623,0.125415
14,1770,196,1770,0,985,13.3333,13.3333,0,9.06007,0.113383
15,1776,190,1776,0,1065,12.5,12.6667,-0.166667,7.37041,0.107632
16,1782,184,1782,0,1140,11.8333,11.8333,0,6.91651,0.0994955
17,1788,178,1788,0,1211,12.1667,12.1667,0,7.31742,0.0927151
18,1794,172,1794,0,1284,12,12.6667,-0.666667,7.22329,0.0810213
19,1800,166,1800,0,1356,12,11.3333,0.666667,7.87602,0.0773274
20,1806,160,1806,0,1428,12.5,13.3333,-0.833333,7.64634,0.0691246
21,1812,154,1812,0,1503,12.3333,12.3333,0,7.75565,0.0639389
22,1818,148,1818,0,1577,12.8333,12.6667,0.166667,7.92081,0.0583727
23,1824,142,1824,0,1654,12.5,12.5,0,7.40314,0.0538817
24,1830,136,1830,0,1729,12.3333,12.3333,0,7.01078,0.0494047
25,1836,130,1836,0,1803,12.5,12.5,0,6.96516,0.0445313
26,1842,124,1842,0,1878,12,12.6667,-0.666667,5.91333,0.043819
27,1848,118,1848,0,1950,11.6667,11.3333,0.333333,6.27312,0.0370288
28,1854,112,1854,0,2020,11.8333,11.8333,0,6.6606,0.0333517
29,1860,106,1860,0,2091,13.3333,13.5,-0.166667,9.30623,0.0297777
30,1866,100,1866,0,2171,11.5,12.8333,-1.33333,6.71084,0.0258871
31,1872,94,1872,0,2240,11.5,11.5,0,6.41606,0.0233921
32,1878,88,1878,0,2309,12.5,12.5,0,7.99663,0.0201601
33,1884,82,1884,0,2384,12.1667,12.1667,0,8.39917,0.0188343
34,1890,76,1890,0,2457,11.6667,11.6667,0,7.72834,0.015076
35,1896,70,1896,0,2527,12,12,0,7.75777,0.0124048
36,1902,64,1902,0,2599,12.5,12.5,0,8.08442,0.0191592
37,1908,58,1908,0,2674,12.1667,12.3333,-0.166667,6.3876,0.00904421
38,1914,52,1914,0,2747,12.8333,12.8333,0,6.72899,0.00738083
39,1920,46,1920,0,2824,13.3333,13.1667,0.166667,8.16124,0.00529938
40,1926,40,1926,0,2904,11.6667,11.6667,0,5.9873,0.00398025
41,1932,34,1932,0,2974,12.8333,12.8333,0,8.37566,0.00287671
42,1938,28,1938,0,3051,11.6667,11.6667,0,7.90359,0.00168871
43,1944,22,1944,0,3121,11.5,11.5,0,7.05395,0.00113792
44,1950,16,1950,0,3190,12.6667,12.8333,-0.166667,8.72498,0.000517167
45,1956,10,1956,0,3266,12.5,12.5,0,9.43263,0.000180541
46,1962,4,1962,0,3341,13.06,13.06,0,6.70466,4.3292e-05
