k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,7.77174
1,6,72,134,10.3333,4.45691
2,12,134,197,10.5,5.91624
3,18,197,258,10.1667,6.3586
4,24,258,344,14.3333,10.3666
5,30,344,409,10.8333,6.81604
6,36,409,472,10.5,6.95119
7,42,472,544,12,7.36339
8,48,544,618,12.3333,7.06831
9,54,618,690,12,7.05899
10,60,690,760,11.6667,6.48271
11,66,760,827,11.1667,5.57085
12,72,827,907,13.3333,10.6609
13,78,907,985,13,9.30623
14,84,985,1065,13.3333,9.06007
15,90,1065,1140,12.5,7.37041
16,96,1140,1211,11.8333,6.91651
17,102,1211,1284,12.1667,7.31742
18,108,1284,1356,12,7.22329
19,114,1356,1428,12,7.87602
20,120,1428,1503,12.5,7.64634
21,126,1503,1577,12.3333,7.75565
22,132,1577,1654,12.8333,7.92081
23,138,1654,1729,12.5,7.40314
24,144,1729,1803,12.3333,7.01078
25,150,1803,1878,12.5,6.96516
26,156,1878,1950,12,5.91333
27,162,1950,2020,11.6667,6.27312
28,168,2020,2091,11.8333,6.6606
29,174,2091,2171,13.3333,9.30623
30,180,2171,2240,11.5,6.71084
31,186,2240,2309,11.5,6.41606
32,192,2309,2384,12.5,7.99663
33,198,2384,2457,12.1667,8.39917
34,204,2457,2527,11.6667,7.72834
35,210,2527,2599,12,7.75777
36,216,2599,2674,12.5,8.08442
37,222,2674,2747,12.1667,6.3876
38,228,2747,2824,12.8333,6.72899
39,234,2824,2904,13.3333,8.16124
40,240,2904,2974,11.6667,5.9873
41,246,2974,3051,12.8333,8.37566
42,252,3051,3121,11.6667,7.90359
43,258,3121,3190,11.5,7.05395
44,264,3190,3266,12.6667,8.72498
45,270,3266,3341,12.5,9.43263
46,276,3341,3393.24,13.06,6.70466
